ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-132,STATE_11320000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-133,STATE_11330000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-134,STATE_11340000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-135,STATE_11350000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-136,STATE_11360000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-137,STATE_11370000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-138,STATE_11380000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-139,STATE_11390000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-140,STATE_11400000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-141,STATE_11410000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-142,STATE_11420000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-143,STATE_11430000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-144,STATE_11440000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-145,STATE_11450000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-146,STATE_11460000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-147,STATE_11470000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-148,STATE_11480000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-149,STATE_11490000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-150,STATE_11500000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-151,STATE_11510000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-152,STATE_11520000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-153,STATE_11530000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-154,STATE_11540000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-155,STATE_11550000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-156,STATE_11560000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-157,STATE_11570000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-158,STATE_11580000,posterior.trees,true,sample,bayesian,years,Lee_2013
